name,category,ingredients
Pasta al tonno in bianco,primo,"pasta;tonno;olio d'oliva;aglio"
Pasta al tonno con pomodoro,primo,"pasta;tonno;pomodoro;olio d'oliva"
Pasta al pesto,primo,"pasta;pesto;parmigiano"
Pasta e fagioli,primo,"pasta;fagioli;pomodoro;sedano"
Pasta e ceci,primo,"pasta;ceci;rosmarino;olio d'oliva"
Spaghetti aglio e olio,primo,"spaghetti;aglio;olio d'oliva;peperoncino"
Pasta al pomodoro,primo,"pasta;pomodoro;olio d'oliva;basilico"
Pasta alla carbonara,primo,"pasta;uova;guanciale;pecorino"
Pasta alla norma,primo,"pasta;melanzane;pomodoro;ricotta salata"
Pasta al burro e parmigiano,primo,"pasta;burro;parmigiano"
Risotto ai funghi,primo,"riso;funghi;brodo;parmigiano"
Risotto allo zafferano,primo,"riso;zafferano;brodo;burro"
Minestrone di verdure,primo,"verdure miste;brodo;olio d'oliva"
Zuppa di lenticchie,primo,"lenticchie;carota;sedano;cipolla"
Gnocchi al pomodoro,primo,"gnocchi;pomodoro;basilico"
Riso al pomodoro,primo,"riso;pomodoro;olio d'oliva"
Cous cous di verdure,primo,"cous cous;verdure miste;olio d'oliva"
Farro con verdure,primo,"farro;zucchine;carote;olio d'oliva"
Orzo con pomodorini,primo,"orzo;pomodorini;olio d'oliva"
Lasagne al forno,primo,"sfoglie;ragù;besciamella;parmigiano"
Petto di pollo alla piastra,secondo,"pollo;olio d'oliva;limone"
Polpette al sugo,secondo,"carne macinata;pomodoro;pane;uova"
Frittata di zucchine,secondo,"uova;zucchine;parmigiano"
Hamburger di manzo,secondo,"manzo;pane;insalata"
Bistecca ai ferri,secondo,"bistecca;olio d'oliva;rosmarino"
Salmone al forno,secondo,"salmone;limone;olio d'oliva"
Tonno scottato,secondo,"tonno;olio d'oliva;semi di sesamo"
Uova strapazzate,secondo,"uova;burro;sale"
Omelette al formaggio,secondo,"uova;formaggio;burro"
Spezzatino di manzo,secondo,"manzo;carote;patate;cipolla"
Arrosto di tacchino,secondo,"tacchino;rosmarino;olio d'oliva"
Salsicce in padella,secondo,"salsicce;olio d'oliva;vino bianco"
Cotolette di pollo,secondo,"pollo;uova;pangrattato"
Scaloppine al limone,secondo,"vitello;limone;farina"
Pollo al curry,secondo,"pollo;curry;latte"
Baccalà in umido,secondo,"baccalà;pomodoro;olive"
Prosciutto e mozzarella,secondo,"prosciutto;mozzarella"
Sformato di tonno,secondo,"tonno;uova;pane"
Burger di ceci,secondo,"ceci;pangrattato;spezie"
Parmigiana di melanzane,secondo,"melanzane;pomodoro;mozzarella"
Insalata di lattuga,contorno,"lattuga;olio d'oliva;aceto"
Insalata di cetrioli,contorno,"cetrioli;olio d'oliva;aceto"
Insalata di pomodori,contorno,"pomodori;olio d'oliva;origano"
Fagiolini lessi,contorno,"fagiolini;olio d'oliva;limone"
Patate al forno,contorno,"patate;olio d'oliva;rosmarino"
Patate lesse,contorno,"patate;olio d'oliva;prezzemolo"
Verdure grigliate,contorno,"zucchine;melanzane;peperoni"
Zucchine trifolate,contorno,"zucchine;olio d'oliva;aglio"
Carote al vapore,contorno,"carote;olio d'oliva"
Broccoli al vapore,contorno,"broccoli;olio d'oliva"
Cavolfiore lesso,contorno,"cavolfiore;olio d'oliva"
Insalata mista,contorno,"lattuga;pomodori;cetrioli"
Spinaci saltati,contorno,"spinaci;olio d'oliva;aglio"
Piselli in padella,contorno,"piselli;olio d'oliva;cipolla"
Melanzane grigliate,contorno,"melanzane;olio d'oliva"
Peperoni arrostiti,contorno,"peperoni;olio d'oliva;aglio"
Patate e cipolle,contorno,"patate;cipolle;olio d'oliva"
Finocchi al forno,contorno,"finocchi;olio d'oliva;parmigiano"
Insalata di carote,contorno,"carote;limone;olio d'oliva"
Cicoria ripassata,contorno,"cicoria;olio d'oliva;aglio"
